Removed Pin From Net: NetName=GND Pin=U3-1
Removed Pin From Net: NetName=NetU1_7 Pin=U3-2
Removed Pin From Net: NetName=GND Pin=U4-1
Removed Pin From Net: NetName=NetLNA1_2 Pin=U4-2
Removed Pin From Net: NetName=VCC Pin=U?-2
Removed Member From Class: ClassName=LNBF Member=U3
Removed Member From Class: ClassName=LNBF Member=U4
Change Component Footprint: Designator=J4 Old Footprint=694102107102 New Footprint=694102107102
Change Component Footprint: Designator=U? Old Footprint=NDE0003A New Footprint=LTC5549IUDBTRMPBF_ADI
Change Component Comment : Designator=U? Old Comment=LM1085IT-3.3/NOPB New Comment=TC5549IUDB#TRMPBF
Change Component Designator: OldDesignator=LO NewDesignator=J3
Change Component Designator: OldDesignator=Output IF NewDesignator=J1
Change Component Designator: OldDesignator=X-Band NewDesignator=J2
Change Managed Component Library Link : Designator=U? Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=26B44634-8B52-444B-A9FC-7D6CF94F0DE0 New ItemGUID= Old RevisionGUID=02C83B09-E1AE-4EE7-911A-F0F10F863B0D New RevisionGUID=
Change component parameters: Designator = "U?" ("U?"); Footprint = "NDE0003A"; UniqueID = "\MOGPNUIW" ("\MOGPNUIW")
Change component parameters (AddParameter): Name = "Copyright"; Value = "Copyright (C) 2024 Ultra Librarian. All rights reserved."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer_Part_Number"; Value = "LTC5549IUDB#TRMPBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mfr_Name"; Value = "Analog Devices Inc"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RefDes"; Value = "RefDes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "DEV"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-GRM55D-0_4-IPC_A)
Add component (AddParameter): Name = "Capacitance"; Value = "1uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "2220"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "5750"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "2220"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "5.7mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.087inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "250V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "5mm"; VariantName = "[No Variations]"
Added Component: Designator=C?(FP-GCQ155-0_05-MFG)
Added Component: Designator=C?(FP-C0603C-CF-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive Grade"; Value = "Grade 1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Capacitance"; Value = "22 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Cap"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://api.kemet.com/component-edge/download/datasheet/C0603C100J5GACAUTO.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Passive Components"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "Ceramic Capacitors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "Cap Ceramic 22pF 50V C0G 5% SMD 0603 125°C Paper T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.87mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "C0603C220J5GACTU"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Ceramic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "Cap Ceramic 22pF 50V C0G 5% SMD 0603 125°C Paper T/R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/c0603c220j5gactu-kemet-98525"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "C0603C-CF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-55°C to +125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Characteristic"; Value = "C0G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "30ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "0.05"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "22 pF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "50 V"; VariantName = "[No Variations]"
Added Component: Designator=C?(CAPC1508X91X25LL25T13)
Add component (AddParameter): Name = "Manufacturer"; Value = "AVX Interconnect / Elco"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "06032U150GAT2A"; VariantName = "[No Variations]"
Added Component: Designator=J?(FP-EMPCB_SMAFSTJ_B_HT-MFG)
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "Conn"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://cdn.taoglas.com/datasheets/EMPCB.SMAFSTJ.B.HT.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Conn Orientation"; Value = "Horizontal"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L1"; Value = "Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L2"; Value = "RF / Coaxial Connectors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Device Class L3"; Value = "unset"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Digikey Description"; Value = "CONN SMA JACK STR 50OHM EDGE MNT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Frequency"; Value = "12.4GHz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Impedance"; Value = "50O"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Is Female"; Value = "yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taoglas Limited"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EMPCB.SMAFSTJ.B.HT"; VariantName = "[No Variations]"
